is_bug_fix,revisionNo,message
0,11,More javadoc Modified : /trunk/core/src/com/google/zxing/qrcode/QRCodeReader.java 
0,12,More javadoc Modified : /trunk/core/src/com/google/zxing/common/BlackPointEstimator.java Modified : /trunk/core/src/com/google/zxing/common/Collections.java 
0,13,More javadoc Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/BitMatrixParser.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/BitSource.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DataBlock.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DataMask.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/Decoder.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/ErrorCorrectionLevel.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/FormatInformation.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/Mode.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/Version.java 
0,14,More javadoc Modified : /trunk/core/src/com/google/zxing/qrcode/detector/AlignmentPattern.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/AlignmentPatternFinder.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/Detector.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPattern.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternInfo.java 
0,15,Added more test cases Added : /trunk/core/test/src/com/google/zxing/common Added : /trunk/core/test/src/com/google/zxing/common/BitArrayTestCase.java Added : /trunk/core/test/src/com/google/zxing/common/BitMatrixTestCase.java Added : /trunk/core/test/src/com/google/zxing/common/CollectionsTestCase.java Added : /trunk/core/test/src/com/google/zxing/qrcode/decoder/BitSourceTestCase.java Modified : /trunk/core/test/src/com/google/zxing/qrcode/decoder/DataMaskTestCase.java Modified : /trunk/core/test/src/com/google/zxing/qrcode/decoder/FormatInformationTestCase.java 
0,16,Fix compile problem for JDK 1.4 Modified : /trunk/core/test/src/com/google/zxing/common/CollectionsTestCase.java 
0,17,"Oops, bug fix for MaskPattern100 Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DataMask.java "
0,18,Adjust tolerance of method that decides whether a finder/alignment pattern hasbeen crossed so that it passes on low resolution images more correctly -- just amatter of resorting to some floating point math. Modified : /trunk/core/src/com/google/zxing/qrcode/detector/AlignmentPatternFinder.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java 
0,19,Should fix up remaining problems in J2ME build and enable build of deployable.jar file Added : /trunk/javame/ZXingReader.jad.template Modified : /trunk/javame/build.xml Added : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java 
0,20,Added icon Modified : /trunk/javame/ZXingReader.jad.template Modified : /trunk/javame/build.xml Added : /trunk/javame/res Added : /trunk/javame/res/qr2.png Modified : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF 
0,21,Replace JAIPerspectiveTransform with PerspectiveTransform Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/GridSampler.java Deleted : /trunk/core/src/com/google/zxing/qrcode/detector/JAIPerspectiveTransform.java Added : /trunk/core/src/com/google/zxing/qrcode/detector/PerspectiveTransform.java 
0,22,"Better, still some bugs Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/PerspectiveTransform.java "
0,23,Fixed the rest of my typos and added basic unit test Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/PerspectiveTransform.java Added : /trunk/core/test/src/com/google/zxing/qrcode/detector Added : /trunk/core/test/src/com/google/zxing/qrcode/detector/PerspectiveTransformTestCase.java 
0,24,Tiny tweak Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java 
0,25,Created wiki page through web user interface. Added : /wiki Added : /wiki/FrequentlyAskedQuestions.wiki 
0,26,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,27,Created wiki page through web user interface. Added : /wiki/GettingStarted.wiki 
0,28,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,29,Break out properties that user should customize into a build.properties file Added : /trunk/javame/build.properties Modified : /trunk/javame/build.xml 
0,30,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,31,Added the initial version of my UPC reader and modified some common filesas necessary to get it building and used by the J2SE command line test. Modified : /trunk/core/src/com/google/zxing/MultiFormatReader.java Modified : /trunk/core/src/com/google/zxing/common/BitArray.java Added : /trunk/core/src/com/google/zxing/upc Added : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java Added : /trunk/core/src/com/google/zxing/upc/UPCReader.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,32,"Added top-level build file, removed local copy of JUnit, added test target tocore Added : /trunk/build.properties Added : /trunk/build.xml Modified : /trunk/core/build.xml Deleted : /trunk/javame/build.properties Modified : /trunk/javame/build.xml Deleted : /trunk/lib "
0,33,&quot;Fire&quot; button now triggers decoding Modified : /trunk/javame/src/com/google/zxing/client/j2me/LCDUIImageMonochromeBitmapSource.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java 
0,34,Code tweaks and so forth with Daniel Modified : /trunk/core/src/com/google/zxing/MultiFormatReader.java Modified : /trunk/core/src/com/google/zxing/common/BitArray.java Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java Modified : /trunk/core/src/com/google/zxing/upc/UPCReader.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,35,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,36,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,37,Added copyright statement Added : /trunk/COPYING 
0,38,"Oops, update year / company Modified : /trunk/COPYING "
0,39,[No log message] Added : /trunk/README 
0,40,[No log message] Modified : /trunk/javame/build.xml 
0,41,Created wiki page through web user interface. Added : /wiki/InterestingLinks.wiki 
0,42,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,43,Minor code tweaks Modified : /trunk/javase/src/com/google/zxing/client/j2se/ImageConverter.java 
0,44,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,45,Added reference to thresholding resource Modified : /trunk/core/src/com/google/zxing/common/BlackPointEstimator.java 
0,46,"Broke out classes, tried to add &quot;open URL&quot; support. Still some issues. Added : /trunk/javame/src/com/google/zxing/client/j2me/SnapshotThread.java Added : /trunk/javame/src/com/google/zxing/client/j2me/VideoCanvas.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java "
0,47,Minor improvements Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java 
0,48,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,49,"Finally, much better support for auto-focus, other UI fixes. Now requiresJSR-234. Modified : /trunk/javame/build.xml Modified : /trunk/javame/src/com/google/zxing/client/j2me/SnapshotThread.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/VideoCanvas.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java "
0,50,Initial refactorings to support multiple kinds of black point estimation Added : /trunk/core/src/com/google/zxing/BlackPointEstimationMethod.java Modified : /trunk/core/src/com/google/zxing/MonochromeBitmapSource.java Modified : /trunk/core/src/com/google/zxing/qrcode/detector/Detector.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/LCDUIImageMonochromeBitmapSource.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/BufferedImageMonochromeBitmapSource.java 
0,51,Created wiki page through web user interface. Added : /wiki/GetTheReader.wiki 
0,52,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,53,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,54,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
0,55,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,56,Implemented row sampling for histograms and tweaked the valley finding algorithmfor better performance. Modified : /trunk/core/src/com/google/zxing/common/BlackPointEstimator.java Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/LCDUIImageMonochromeBitmapSource.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/BufferedImageMonochromeBitmapSource.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,57,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,58,Minor change to add braces (also testing commit notification e-mail) Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,59,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,60,Last updates to build files Modified : /trunk/build.properties Modified : /trunk/build.xml Modified : /trunk/core/build.xml 
0,61,Increase maximum desired zoom to 2.5x Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java 
1,62,"Reference JDK 1.4 classes file location directly to accommodate Mac users, andalso include top-level build files in release. Modified : /trunk/build.properties Modified : /trunk/build.xml Modified : /trunk/core/build.xml Modified : /trunk/javame/build.xml "
1,63,Should fix problems decoding tiny QR codes without any alignment pattern Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java 
0,64,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,65,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,66,Updates for version 0.1.1 Added : /trunk/CHANGES Modified : /trunk/build.properties Modified : /trunk/javame/ZXingReader.jad.template Modified : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF 
0,67,Fix up release target Modified : /trunk/build.xml 
0,68,preverify classpath now should work on Windows Modified : /trunk/javame/build.xml 
0,69,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,70,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,71,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
0,72,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,73,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
1,74,"Now makes sure JDK 1.4 / WTK are present. No longer requires Unix-style wcbinary, so runs on Windows Modified : /trunk/build.properties Modified : /trunk/core/build.xml Modified : /trunk/javame/build.xml "
0,75,Added more clarifying comments about how to configure the build properties Modified : /trunk/build.properties 
0,76,"Now, can build &quot;ZXingReaderBasic&quot; which does not require JSR-234 Modified : /trunk/core/build.xml Modified : /trunk/javame/ZXingReader.jad.template Modified : /trunk/javame/build.xml Added : /trunk/javame/src-basic Added : /trunk/javame/src-basic/com Added : /trunk/javame/src-basic/com/google Added : /trunk/javame/src-basic/com/google/zxing Added : /trunk/javame/src-basic/com/google/zxing/client Added : /trunk/javame/src-basic/com/google/zxing/client/j2me Added : /trunk/javame/src-basic/com/google/zxing/client/j2me/AdvancedMultimediaManager.java Added : /trunk/javame/src/com/google/zxing/client/j2me/AdvancedMultimediaManager.java Deleted : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF Added : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF.template Modified : /trunk/javame/src/com/google/zxing/client/j2me/SnapshotThread.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java "
0,77,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
1,78,"Now builds release .zip which puts all files into one containing directory, forconvenience Modified : /trunk/build.xml "
0,79,More changes for 0.1.2 Modified : /trunk/CHANGES Modified : /trunk/build.properties 
0,80,I guess build.xml should have a copyright statement too Modified : /trunk/build.xml Modified : /trunk/core-ext/build.xml Modified : /trunk/core/build.xml Modified : /trunk/javame/build.xml Modified : /trunk/javase/build.xml 
0,81,Use max compression on .zip/.jar files Modified : /trunk/build.xml Modified : /trunk/core-ext/build.xml Modified : /trunk/core/build.xml Modified : /trunk/javame/build.xml Modified : /trunk/javase/build.xml 
0,82,Use version when creating manfiest/.jad files Modified : /trunk/javame/ZXingReader.jad.template Modified : /trunk/javame/build.xml Modified : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF.template 
0,83,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
0,84,"Add proguard optimizer support. Switch to compile against WTK class files andtarget version 1.2 class file output, to possibly fix compatibility issues. Modified : /trunk/build.properties Modified : /trunk/core/build.xml Modified : /trunk/javame/build.xml "
0,85,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,86,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,87,Finally added the beginnings of a decent black-box unit test for QR codedecoding Modified : /trunk/core/build.xml Added : /trunk/core/test/src/com/google/zxing/qrcode/QRCodeReaderTestCase.java 
0,88,"Added UPC support to the result types, and added a build target without J2ME. Modified : /trunk/build.properties Modified : /trunk/build.xml Modified : /trunk/core-ext/src/com/google/zxing/client/result/ParsedReaderResultType.java Added : /trunk/core-ext/src/com/google/zxing/client/result/UPCParsedResult.java "
0,89,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
0,90,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,91,Add support for EAN-13 barcodes Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java 
0,92,"Added some 'if' braces, changes C-comments to javadocs -- minor stuff Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java "
0,93,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,94,Typo fix Modified : /trunk/javame/build.xml 
0,95,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,96,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,97,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,98,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,99,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,100,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
0,101,Minor changes to support EAN-13. Modified : /trunk/core-ext/src/com/google/zxing/client/result/UPCParsedResult.java Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java 
0,102,Don't calculate 1st digit unless checkBothParities is true Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java 
0,103,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,104,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,105,Tiny update to store string length in var Modified : /trunk/core-ext/src/com/google/zxing/client/result/UPCParsedResult.java 
0,106,Updates for 0.1.3 Modified : /trunk/CHANGES Modified : /trunk/build.properties 
0,107,Fixed a few little typos Modified : /trunk/build.xml Modified : /trunk/javame/build.xml 
0,108,Created wiki page through web user interface. Added : /wiki/DeveloperNotes.wiki 
0,109,Added javadoc target Modified : /trunk/build.xml 
0,110,Added Google Analytics Modified : /trunk/build.xml 
0,111,Edited wiki page through web user interface. Modified : /wiki/DeveloperNotes.wiki 
0,112,Added first cut at script to build a Blackberry client -- does not yet seem towork. Added : /trunk/rim Added : /trunk/rim/build.xml 
0,113,Various improvements to handling and detection of URLs in codes Modified : /trunk/core-ext/src/com/google/zxing/client/result/URIParsedResult.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java 
0,114,"Moved com.google.zxing.client.result from core-ext to core, rewrote it for J2ME,changed javame to use it, and removed core-ext Modified : /trunk/build.xml Deleted : /trunk/core-ext/build.xml Deleted : /trunk/core-ext/src Added : /trunk/core/src/com/google/zxing/client/result Added : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoResult.java Added : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoResult.java Added : /trunk/core/src/com/google/zxing/client/result/BookmarkDoCoMoResult.java Added : /trunk/core/src/com/google/zxing/client/result/EmailAddressResult.java Added : /trunk/core/src/com/google/zxing/client/result/EmailDoCoMoResult.java Added : /trunk/core/src/com/google/zxing/client/result/ParsedReaderResult.java Added : /trunk/core/src/com/google/zxing/client/result/ParsedReaderResultType.java Added : /trunk/core/src/com/google/zxing/client/result/TextParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/UPCParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/URIParsedResult.java Added : /trunk/core/test/src/com/google/zxing/client Added : /trunk/core/test/src/com/google/zxing/client/result Added : /trunk/core/test/src/com/google/zxing/client/result/ParsedReaderResultTestCase.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java Modified : /trunk/javase/build.xml "
0,115,"Oops, also remove core-ext dir Deleted : /trunk/core-ext "
0,116,"Oops, fix compile problem Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java "
0,117,Misc. small updates for 0.1.4 Modified : /trunk/CHANGES Modified : /trunk/build.properties Modified : /trunk/build.xml 
0,118,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,119,Put back the buildwithoutj2me target. Modified : /trunk/build.xml Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,120,Bug fix from K. Kakima Modified : /trunk/core/src/com/google/zxing/qrcode/detector/AlignmentPatternFinder.java 
0,121,"Fixed handling of UPC/QR hints, improved error reporting Modified : /trunk/core/src/com/google/zxing/MultiFormatReader.java "
0,122,Now public Modified : /trunk/javame/src/com/google/zxing/client/j2me/LCDUIImageMonochromeBitmapSource.java 
0,123,Tiny logic improvement Modified : /trunk/core/src/com/google/zxing/common/BlackPointEstimator.java 
0,124,Improve correctness of black-run logic in case where patterns are very close toedge Modified : /trunk/core/src/com/google/zxing/qrcode/detector/Detector.java 
0,125,Added new app icon from Haase &amp; Martin Modified : /trunk/javame/ZXingReader.jad.template Deleted : /trunk/javame/res/qr2.png Added : /trunk/javame/res/zxing-icon.png Modified : /trunk/javame/src/com/google/zxing/client/j2me/MANIFEST.MF.template 
0,126,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,127,Small logic fix -- OK to end up at border of image in this code Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java 
0,128,Be more forgiving about endpoints that transform to be just off the image Modified : /trunk/core/src/com/google/zxing/qrcode/detector/GridSampler.java 
0,129,The UPC decoder now returns a pair of points to indicate the row where thebarcode was found. Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java Added : /trunk/core/src/com/google/zxing/upc/UPCPoint.java Modified : /trunk/core/src/com/google/zxing/upc/UPCReader.java 
0,130,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,131,Reduce default zoom from 2.5x to 2.0x Modified : /trunk/javame/src/com/google/zxing/client/j2me/AdvancedMultimediaManager.java 
0,132,Icon now has transparent background Modified : /trunk/javame/res/zxing-icon.png 
0,133,Slightly friendlier error message Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java 
0,134,Trivial move of a commented method to better spot -- won't compile where it isnow Modified : /trunk/core/src/com/google/zxing/common/BitMatrix.java Modified : /trunk/javase/src/com/google/zxing/client/j2se/CommandLineRunner.java 
0,135,Improved black point estimation -- favor a point not white so close the whitepeak Modified : /trunk/core/src/com/google/zxing/common/BlackPointEstimator.java Modified : /trunk/core/test/src/com/google/zxing/qrcode/QRCodeReaderTestCase.java 
0,136,Update for 0.2 Modified : /trunk/CHANGES Modified : /trunk/build.properties 
0,137,Removed unneeded import Modified : /trunk/core/src/com/google/zxing/upc/UPCReader.java 
0,138,Fixed location of RIM files Modified : /trunk/build.properties Modified : /trunk/rim/build.xml 
0,139,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,140,"Small tweaks to streamline performance and code, and changed row search patternto search more broadly more quickly, which seems to slightly improve decodeperformance Modified : /trunk/core/src/com/google/zxing/upc/UPCDecoder.java "
0,141,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,142,Edited wiki page through web user interface. Modified : /wiki/GetTheReader.wiki 
0,143,Edited wiki page through web user interface. Modified : /wiki/InterestingLinks.wiki 
