is_bug_fix,revisionNo,message
0,27,Edited wiki page through web user interface. Modified : /wiki/IdeaFavoriteLocations.wiki 
0,28,Created wiki page through web user interface. Added : /wiki/OpenIntentsURIs.wiki 
0,29,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,30,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,31,Edited wiki page through web user interface. Modified : /wiki/IdeaFavoriteLocations.wiki 
0,32,Edited wiki page through web user interface. Modified : /wiki/IdeaFavoriteLocations.wiki 
0,33,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,34,Edited wiki page through web user interface. Modified : /wiki/IdeaFavoriteLocations.wiki 
0,35,Edited wiki page through web user interface. Modified : /wiki/IdeaFavoriteLocations.wiki 
0,36,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,37,Edited wiki page through web user interface. Modified : /wiki/Projects.wiki 
0,38,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,39,Created wiki page through web user interface. Added : /wiki/OpenIntentsNewAndroidProjects.wiki 
0,40,"Let's start somewhere. I inserted a new project, so far with nothing inside. Added : /trunk/openintents Added : /trunk/openintents/.classpath Added : /trunk/openintents/.project Added : /trunk/openintents/AndroidManifest.xml Added : /trunk/openintents/assets Added : /trunk/openintents/res Added : /trunk/openintents/res/drawable Added : /trunk/openintents/res/drawable/openintents_icon.png Added : /trunk/openintents/res/layout Added : /trunk/openintents/res/layout/main.xml Added : /trunk/openintents/res/values Added : /trunk/openintents/res/values/strings.xml Added : /trunk/openintents/src Added : /trunk/openintents/src/org Added : /trunk/openintents/src/org/openintents Added : /trunk/openintents/src/org/openintents/main Added : /trunk/openintents/src/org/openintents/main/OpenIntents.java Added : /trunk/openintents/src/org/openintents/main/R.java Added : /trunk/readme.txt Added : /trunk/samples Added : /trunk/testing Added : /trunk/testing/common Added : /trunk/testing/developer Added : /trunk/testing/developer/peli "
0,41,Added &quot;bin&quot; to ignore list Modified : /trunk/openintents 
0,42,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,43,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,44,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,45,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,46,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,47,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,48,Added directory to work in Added : /trunk/testing/developer/numbeast 
0,49,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,50,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,51,Created wiki page through web user interface. Added : /wiki/CentralTagging.wiki 
0,52,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,53,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,54,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,55,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,56,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,57,initial checkin Modified : /trunk/openintents/.classpath 
0,58,initial checkin based on NotePad Added : /trunk/openintents/src/org/openintents/locations Added : /trunk/openintents/src/org/openintents/locations/LocationsProvider.java 
0,59,initial checkin based on NotePad Added : /trunk/openintents/src/org/openintents/provider Added : /trunk/openintents/src/org/openintents/provider/Location.java 
0,60,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,61,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,62,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsNewAndroidProjects.wiki 
0,63,Added a private test application. Modified : /trunk/openintents/.classpath Added : /trunk/testing/developer/peli/contentprovider01a Added : /trunk/testing/developer/peli/contentprovider01a/AndroidManifest.xml Added : /trunk/testing/developer/peli/contentprovider01a/assets Added : /trunk/testing/developer/peli/contentprovider01a/res Added : /trunk/testing/developer/peli/contentprovider01a/res/drawable Added : /trunk/testing/developer/peli/contentprovider01a/res/drawable/icon.png Added : /trunk/testing/developer/peli/contentprovider01a/res/layout Added : /trunk/testing/developer/peli/contentprovider01a/res/layout/main.xml Added : /trunk/testing/developer/peli/contentprovider01a/res/values Added : /trunk/testing/developer/peli/contentprovider01a/res/values/strings.xml Added : /trunk/testing/developer/peli/contentprovider01a/src Added : /trunk/testing/developer/peli/contentprovider01a/src/org Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing/peli Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing/peli/contentprovider01a Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing/peli/contentprovider01a/ContentProvider01a.java Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing/peli/contentprovider01a/ContentProviderSystem01a.java Added : /trunk/testing/developer/peli/contentprovider01a/src/org/openintents/testing/peli/contentprovider01a/R.java 
0,64,Deleted files .classpath and .project from repo. Deleted : /trunk/openintents/.classpath Deleted : /trunk/openintents/.project 
0,65,Added .project and .classpath to ignore list. Modified : /trunk/openintents 
0,66,Created wiki page through web user interface. Added : /wiki/NewAndroidProjects.wiki 
0,67,Deleting wiki page OpenIntentsNewAndroidProjects. Deleted : /wiki/OpenIntentsNewAndroidProjects.wiki 
0,68,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,69,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,70,Edited wiki page through web user interface. Modified : /wiki/NewAndroidProjects.wiki 
0,71,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,72,Initial import. Added : /trunk/testing/developers 
0,73,Initial import. Added : /trunk/testing/developers/friedger 
0,74,Initial import. Added : /trunk/testing/developers/friedger/locationintents 
0,75,[No log message] Added : /trunk/testing/developers/friedger/locationintents/.classpath Added : /trunk/testing/developers/friedger/locationintents/.project Added : /trunk/testing/developers/friedger/locationintents/AndroidManifest.xml Added : /trunk/testing/developers/friedger/locationintents/assets Added : /trunk/testing/developers/friedger/locationintents/res Added : /trunk/testing/developers/friedger/locationintents/res/drawable Added : /trunk/testing/developers/friedger/locationintents/res/drawable/openintents_icon.png Added : /trunk/testing/developers/friedger/locationintents/res/layout Added : /trunk/testing/developers/friedger/locationintents/res/layout/location_row.xml Added : /trunk/testing/developers/friedger/locationintents/res/layout/main.xml Added : /trunk/testing/developers/friedger/locationintents/res/values Added : /trunk/testing/developers/friedger/locationintents/res/values/strings.xml Added : /trunk/testing/developers/friedger/locationintents/src Added : /trunk/testing/developers/friedger/locationintents/src/org Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/R.java Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/locations Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/provider Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/locationintents Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/locationintents/LocationsView.java 
0,76,"correct field type of latitude and longitude, correct content_uri Modified : /trunk/openintents/AndroidManifest.xml Modified : /trunk/openintents/src/org/openintents/locations/LocationsProvider.java Modified : /trunk/openintents/src/org/openintents/provider/Location.java "
0,77,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,78,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,79,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,80,code style checked Modified : /trunk/openintents/src/org/openintents/locations/LocationsProvider.java 
0,81,code style checked Added : /trunk/openintents/.checkstyle 
0,82,more menu options Modified : /trunk/testing/developers/friedger/locationintents/.classpath Modified : /trunk/testing/developers/friedger/locationintents/res/layout/location_row.xml Modified : /trunk/testing/developers/friedger/locationintents/res/layout/main.xml Modified : /trunk/testing/developers/friedger/locationintents/res/values/strings.xml Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/R.java Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/locationintents/LocationsView.java 
0,83,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,84,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,85,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,86,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,87,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,88,Edited wiki page through web user interface.Content table should have more fields. Modified : /wiki/CentralTagging.wiki 
0,89,Move testing directory according to friedger's scheme. Deleted : /trunk/testing/developer/peli Modified : /trunk/testing/developers/friedger/locationintents/.classpath Modified : /trunk/testing/developers/friedger/locationintents/.project Added : /trunk/testing/developers/peli 
0,90,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,91,"tag intents added, openintents-0.0.1.jar added Modified : /trunk/testing/developers/friedger/locationintents Added : /trunk/testing/developers/friedger/locationintents/lib Added : /trunk/testing/developers/friedger/locationintents/lib/openintents-0.0.1.jar Added : /trunk/testing/developers/friedger/locationintents/res/layout/tag_row.xml Added : /trunk/testing/developers/friedger/locationintents/res/layout/tags.xml Modified : /trunk/testing/developers/friedger/locationintents/res/values/strings.xml Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/R.java Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/locationintents/LocationsView.java Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/tagintents Added : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/tagintents/TagsView.java "
0,92,TAG_ACTION added Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java 
0,93,"first jar with Location and Tag - LocationsProvider only, no TagsProvider. Added : /trunk/openintents/lib Added : /trunk/openintents/lib/openintents-0.0.1.jar "
0,94,starting point for TagsProvider Added : /trunk/openintents/src/org/openintents/provider/Tag.java 
0,95,TAG_ACTION is static Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java 
0,96,Tags content table description removed (maybe for later use) We now just use atext as uri for simple tags. Modified : /wiki/CentralTagging.wiki 
0,97,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,98,Edited wiki page through web user interface. Modified : /wiki/NewAndroidProjects.wiki 
0,99,[No log message] Modified : /trunk/openintents/AndroidManifest.xml Added : /trunk/openintents/lib/openintents-0.0.3.jar Modified : /trunk/openintents/res/values/strings.xml Added : /trunk/openintents/src/org/openintents/R.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Deleted : /trunk/openintents/src/org/openintents/main/R.java Modified : /trunk/openintents/src/org/openintents/provider/Tag.java Added : /trunk/openintents/src/org/openintents/tags Added : /trunk/openintents/src/org/openintents/tags/TagsProvider.java 
0,100,a tags view Modified : /trunk/testing/developers/friedger/locationintents/.classpath Modified : /trunk/testing/developers/friedger/locationintents/.project Modified : /trunk/testing/developers/friedger/locationintents/AndroidManifest.xml Added : /trunk/testing/developers/friedger/locationintents/bin Added : /trunk/testing/developers/friedger/locationintents/bin/OpenIntentsFriedgerLocationIntents.apk Added : /trunk/testing/developers/friedger/locationintents/bin/classes.dex Added : /trunk/testing/developers/friedger/locationintents/bin/resources.ap_ Deleted : /trunk/testing/developers/friedger/locationintents/lib/openintents-0.0.1.jar Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/locationintents/LocationsView.java Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/tagintents/TagsView.java 
0,101,[No log message] Added : /trunk/testing/developers/friedger/locationintents/lib/openintents-0.0.3.jar 
0,102,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,103,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,104,Delete files from bin in order to put it on ignore list. Deleted : /trunk/testing/developers/friedger/locationintents/bin 
0,105,[No log message] Modified : /trunk/openintents Modified : /trunk/testing/developers/friedger/locationintents 
0,106,Edited wiki page through web user interface. Modified : /wiki/NewAndroidProjects.wiki 
0,107,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,108,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,109,Created wiki page through web user interface. Added : /wiki/CentralShoppingList.wiki 
0,110,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,111,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,112,Edited wiki page through web user interface. Modified : /wiki/CentralShoppingList.wiki 
0,113,Edited wiki page through web user interface. Modified : /wiki/CentralShoppingList.wiki 
0,114,Edited wiki page through web user interface. Modified : /wiki/CentralShoppingList.wiki 
0,115,Use of TagProvider added. Modified : /wiki/CentralTagging.wiki 
0,116,Created wiki page through web user interface. Added : /wiki/KISS.wiki 
0,117,Edited wiki page through web user interface. Modified : /wiki/CentralShoppingList.wiki 
0,118,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,119,Edited wiki page through web user interface. Modified : /wiki/CentralShoppingList.wiki 
0,120,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,121,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,122,Created wiki page through web user interface. Added : /wiki/ReleasePlan.wiki 
0,123,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,124,Edited wiki page through web user interface. Modified : /wiki/KISS.wiki 
0,125,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,126,Created wiki page through web user interface. Added : /wiki/FrequentlyAskedQuestions.wiki 
0,127,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,128,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,129,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,130,Edited wiki page through web user interface. Modified : /wiki/KISS.wiki 
0,131,[No log message] Deleted : /trunk/testing/developer/numbeast Added : /trunk/testing/developers/numbeast 
0,132,Edited wiki page through web user interface. Modified : /wiki/FrequentlyAskedQuestions.wiki 
0,133,Edited wiki page through web user interface. Modified : /wiki/ReleasePlan.wiki 
1,134,TagsProvider with type column. Modified : /trunk/openintents/AndroidManifest.xml Modified : /trunk/openintents/lib/openintents-0.0.3.jar Added : /trunk/openintents/res/layout/location_row.xml Added : /trunk/openintents/res/layout/locations.xml Added : /trunk/openintents/res/layout/tag_row.xml Added : /trunk/openintents/res/layout/tags.xml Modified : /trunk/openintents/res/values/strings.xml Added : /trunk/openintents/src/org/openintents/OpenIntents.java Added : /trunk/openintents/src/org/openintents/locations/LocationsView.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Modified : /trunk/openintents/src/org/openintents/provider/Tag.java Modified : /trunk/openintents/src/org/openintents/tags/TagsProvider.java Added : /trunk/openintents/src/org/openintents/tags/TagsView.java 
1,135,TagsProvider with type column. Modified : /trunk/testing/developers/friedger/locationintents/.classpath Modified : /trunk/testing/developers/friedger/locationintents/lib/openintents-0.0.3.jar Modified : /trunk/testing/developers/friedger/locationintents/src/org/openintents/testing/friedger/tagintents/TagsView.java 
0,136,[No log message] Deleted : /trunk/testing/developer 
0,137,Initial import. Added : /trunk/samples/FavoriteLocations 
0,138,Initial import. Added : /trunk/samples/FavoriteLocations/AndroidManifest.xml Added : /trunk/samples/FavoriteLocations/assets Added : /trunk/samples/FavoriteLocations/lib Added : /trunk/samples/FavoriteLocations/lib/openintents-0.0.4.jar Added : /trunk/samples/FavoriteLocations/readme_favoriteLocations.txt Added : /trunk/samples/FavoriteLocations/res Added : /trunk/samples/FavoriteLocations/res/drawable Added : /trunk/samples/FavoriteLocations/res/drawable/icon.png Added : /trunk/samples/FavoriteLocations/res/layout Added : /trunk/samples/FavoriteLocations/res/layout/location_row.xml Added : /trunk/samples/FavoriteLocations/res/layout/main.xml Added : /trunk/samples/FavoriteLocations/res/values Added : /trunk/samples/FavoriteLocations/res/values/strings.xml Added : /trunk/samples/FavoriteLocations/src Added : /trunk/samples/FavoriteLocations/src/org Added : /trunk/samples/FavoriteLocations/src/org/openintents Added : /trunk/samples/FavoriteLocations/src/org/openintents/samples Added : /trunk/samples/FavoriteLocations/src/org/openintents/samples/FavoriteLocations.java 
0,139,[No log message] Modified : /trunk/openintents Modified : /trunk/openintents/AndroidManifest.xml Added : /trunk/openintents/lib/openintents-0.0.4.jar Added : /trunk/openintents/readme_OpenIntents.txt Modified : /trunk/openintents/res/layout/tag_row.xml Modified : /trunk/openintents/res/layout/tags.xml Modified : /trunk/openintents/res/values/strings.xml Modified : /trunk/openintents/src/org/openintents/OpenIntents.java Modified : /trunk/openintents/src/org/openintents/locations/LocationsProvider.java Modified : /trunk/openintents/src/org/openintents/locations/LocationsView.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Modified : /trunk/openintents/src/org/openintents/provider/Location.java Modified : /trunk/openintents/src/org/openintents/provider/Tag.java Modified : /trunk/openintents/src/org/openintents/tags/TagsProvider.java Modified : /trunk/openintents/src/org/openintents/tags/TagsView.java 
0,140,Add .project files to repo. Added : /trunk/openintents/.project Modified : /trunk/openintents/src/org/openintents/R.java Added : /trunk/samples/FavoriteLocations/.project 
0,141,Added license information to files. Modified : /trunk/openintents/.project Modified : /trunk/openintents/readme_OpenIntents.txt Modified : /trunk/openintents/res/layout/location_row.xml Modified : /trunk/openintents/res/layout/locations.xml Modified : /trunk/openintents/res/layout/main.xml Modified : /trunk/openintents/res/layout/tag_row.xml Modified : /trunk/openintents/res/layout/tags.xml Modified : /trunk/openintents/res/values/strings.xml Modified : /trunk/openintents/src/org/openintents/OpenIntents.java Modified : /trunk/openintents/src/org/openintents/locations/LocationsProvider.java Modified : /trunk/openintents/src/org/openintents/locations/LocationsView.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Modified : /trunk/openintents/src/org/openintents/provider/Location.java Modified : /trunk/openintents/src/org/openintents/provider/Tag.java Modified : /trunk/openintents/src/org/openintents/tags/TagsProvider.java Modified : /trunk/openintents/src/org/openintents/tags/TagsView.java Modified : /trunk/samples/FavoriteLocations/readme_favoriteLocations.txt Modified : /trunk/samples/FavoriteLocations/res/layout/location_row.xml Modified : /trunk/samples/FavoriteLocations/res/layout/main.xml Modified : /trunk/samples/FavoriteLocations/res/values/strings.xml Modified : /trunk/samples/FavoriteLocations/src/org/openintents/samples/FavoriteLocations.java 
0,142,How to create the JAR file. Added : /trunk/openintents/lib/readme_createjar.txt 
0,143,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,144,"Added About activity for main screen, and new icon for sample applications using<a title=""We define and implement useful open intents for the Android platform."" href=""/p/openintents/wiki/OpenIntents"">OpenIntents</a>. Modified : /trunk/openintents/AndroidManifest.xml Added : /trunk/openintents/lib/openintents-0.1.0.jar Added : /trunk/openintents/res/layout/about.xml Modified : /trunk/openintents/res/layout/locations.xml Modified : /trunk/openintents/res/layout/main.xml Modified : /trunk/openintents/res/values/strings.xml Modified : /trunk/openintents/src/org/openintents/R.java Added : /trunk/openintents/src/org/openintents/main/About.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Modified : /trunk/readme.txt Modified : /trunk/samples/FavoriteLocations/AndroidManifest.xml Added : /trunk/samples/FavoriteLocations/lib/openintents-0.1.0.jar Added : /trunk/samples/FavoriteLocations/res/drawable/icon_openintents_sample.png Added : /trunk/samples/FavoriteLocations/src/org/openintents/samples/R.java "
0,145,ignore .classpath Modified : /trunk/samples/FavoriteLocations 
0,146,update readme files Modified : /trunk/readme.txt Added : /trunk/readme_developer.txt 
0,147,Included message how to import JAR file. Deleted : /trunk/samples/FavoriteLocations/lib/openintents-0.0.4.jar Modified : /trunk/samples/FavoriteLocations/readme_favoriteLocations.txt Modified : /trunk/samples/FavoriteLocations/src/org/openintents/samples/FavoriteLocations.java 
0,148,Added download release candidate. Added : /downloads Added : /downloads/releasecandidates Added : /downloads/releasecandidates/openintents-0.1.0.zip 
0,149,Created wiki page through web user interface. Added : /wiki/DeveloperPoints.wiki 
0,150,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,151,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,152,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,153,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,154,Created wiki page through web user interface. Added : /wiki/GettingStarted.wiki 
0,155,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,156,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,157,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,158,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,159,Edited wiki page through web user interface. Modified : /wiki/ReleasePlan.wiki 
0,160,Edited wiki page through web user interface. Modified : /wiki/ReleasePlan.wiki 
0,161,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,162,Tag Release 0.1.0 Added : /tags/Release_0.1.0 
0,163,Added screenshots for Release-0.1.0 Added : /images/screenshots Added : /images/screenshots/Release-0.1.0 Added : /images/screenshots/Release-0.1.0/favorite_locations.png Added : /images/screenshots/Release-0.1.0/list_of_locations.png Added : /images/screenshots/Release-0.1.0/list_of_tags.png Added : /images/screenshots/Release-0.1.0/openintents.png 
0,164,added &quot;about&quot; screenshot. Added : /images/screenshots/Release-0.1.0/about.png 
0,165,Created wiki page through web user interface. Added : /wiki/Screenshots.wiki 
0,166,Edited wiki page through web user interface. Modified : /wiki/Screenshots.wiki 
0,167,Edited wiki page through web user interface. Modified : /wiki/Screenshots.wiki 
0,168,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,169,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,170,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,171,Added branch for feature development. Added : /branches/developers Added : /branches/developers/peli 
0,172,Created private branch to work on shopping list. Will be merged once basicthings work. Added : /branches/developers/peli/shoppinglist01a 
0,173,Edited wiki page through web user interface. Modified : /wiki/OpenIntentsURIs.wiki 
0,174,"Started to add shopping functionality. Partial commit, does not run yet! Added : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/provider/Shopping.java Added : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping Added : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping/ShoppingProvider.java "
0,175,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,176,Edited wiki page through web user interface. Modified : /wiki/GettingStarted.wiki 
0,177,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,178,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,179,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,180,Change ignored files. Modified : /branches/developers/peli/shoppinglist01a/openintents Modified : /branches/developers/peli/shoppinglist01a/samples/FavoriteLocations 
0,181,Edited wiki page through web user interface. Modified : /wiki/ReleasePlan.wiki 
0,182,Edited wiki page through web user interface. Modified : /wiki/CentralTagging.wiki 
0,183,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,184,"Continued to add shopping functionality. Partial commit, runs, but does not workyet! Modified : /branches/developers/peli/shoppinglist01a/openintents/AndroidManifest.xml Added : /branches/developers/peli/shoppinglist01a/openintents/res/layout/shopping.xml Modified : /branches/developers/peli/shoppinglist01a/openintents/res/values/strings.xml Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/R.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/main/About.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/main/OpenIntents.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping/ShoppingProvider.java Added : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping/ShoppingView.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/tags/TagsView.java "
0,185,Basic shopping mock-up works. Now I still need to connect this to TagsProvider. Modified : /branches/developers/peli/shoppinglist01a/openintents/res/layout/shopping.xml Added : /branches/developers/peli/shoppinglist01a/openintents/res/layout/shopping_item_row.xml Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/R.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping/ShoppingProvider.java Modified : /branches/developers/peli/shoppinglist01a/openintents/src/org/openintents/shopping/ShoppingView.java 
0,186,Merged revisions 172:185 from branches/developers/peli/shoppinglist01a into maintrunk. Modified : /trunk/openintents Modified : /trunk/openintents/AndroidManifest.xml Added : /trunk/openintents/res/layout/shopping.xml Added : /trunk/openintents/res/layout/shopping_item_row.xml Modified : /trunk/openintents/res/values/strings.xml Modified : /trunk/openintents/src/org/openintents/R.java Modified : /trunk/openintents/src/org/openintents/main/About.java Modified : /trunk/openintents/src/org/openintents/main/OpenIntents.java Added : /trunk/openintents/src/org/openintents/provider/Shopping.java Added : /trunk/openintents/src/org/openintents/shopping Modified : /trunk/openintents/src/org/openintents/tags/TagsView.java Modified : /trunk/samples/FavoriteLocations 
